Textos,PAQ8n,Deflate,Bzip2,Gzip,LZMA,LZW,Brotli,Propuesto
1,1.582,1.548,1.335,1.455,1.288,1.313,1.608,1.924
2,1.497,1.427,1.226,1.394,1.214,1.283,1.544,1.935
3,1.745,1.655,1.46,1.574,1.338,1.399,1.692,1.925
4,1.523,1.463,1.261,1.382,1.2,1.268,1.531,1.899
5,1.493,1.408,1.228,1.39,1.195,1.17,1.625,1.949
6,1.242,1.228,1.051,1.199,1.057,1.036,1.25,1.429
7,1.154,1.04,1.026,1.061,1.0,0.946,1.287,1.448
8,1.566,1.43,1.316,1.465,1.298,1.254,1.783,1.893
9,1.295,1.265,1.092,1.219,1.05,1.275,1.38,1.536
10,1.495,1.371,1.307,1.419,1.216,1.174,1.511,1.629
11,1.455,1.309,1.219,1.373,1.168,1.134,1.466,1.632
12,1.497,1.306,1.249,1.37,1.222,1.209,1.58,1.773
13,1.369,1.201,1.126,1.25,1.097,1.092,1.493,1.66
14,1.595,1.407,1.336,1.462,1.321,1.305,1.637,1.773
15,1.559,1.302,1.243,1.38,1.249,1.227,1.492,1.788
16,2.401,2.082,2.214,2.121,1.888,1.559,2.269,2.466
17,1.38,1.211,1.353,1.302,1.113,1.103,1.428,1.903
18,1.755,1.537,1.477,1.585,1.401,1.394,1.782,1.931
19,1.507,1.37,1.261,1.417,1.247,1.234,1.542,1.815
20,2.02,1.744,2.01,1.783,1.596,1.43,1.941,2.033
